name,temp,humidity,windspeed,pressure,rain
pune,29.1,53.7,19.4,1008.5,0
pune,29.1,56.2,19.1,1007.7,0.1
pune,29.3,53.4,19.4,1008.1,0
pune,29.2,47.9,18.7,1008.4,0
pune,29.7,50.7,16.6,1010,0
pune,30.7,51.8,18.7,1010.1,0
pune,30.9,48.6,19.1,1008.7,0
pune,30.1,52.5,18,1008,0
pune,30,47.9,17.3,1008.2,0.1
pune,29.5,44.8,13.7,1008.2,0.2
pune,29.9,47.4,19.1,1008.4,0.1
pune,29.7,53.9,19.1,1007.8,0.1
pune,30.2,54.2,18.7,1007.1,0.1
pune,29.8,55.6,19.1,1008,0
pune,30.2,51.3,20.2,1008.4,0
pune,30.3,39.2,20.2,1008.7,0
pune,29.6,38.7,18.4,1008.5,0
pune,28.5,53.7,18.7,1008.4,0
pune,28.6,56.7,17.3,1007.6,0.1
pune,27.8,62.4,19.4,1009.1,0.6
pune,25.7,66.4,22.3,1008.3,1
pune,25.4,69.9,18.7,1008.4,1.3
pune,25.7,71.8,14.8,1009.2,11
pune,26.7,68.6,15.1,1009.2,0.1
pune,27.3,69,13,1008.5,1.3
pune,27.4,70.5,14.4,1007.4,3
pune,26.2,79.3,12.2,1007.9,19
pune,26.3,76.7,11.2,1008.1,12
pune,26.8,77.2,12.6,1008.3,0.3
pune,25.8,85.7,12.2,1008.4,27
pune,26.8,79.6,14,1007.7,7.1
pune,25.9,84.3,11.9,1007.1,14
pune,26.3,84,6.1,1006.1,7
pune,25.6,88.3,18.4,1005.2,40
pune,25.4,85.6,12.6,1005,6
pune,24.5,91.4,8.6,1003.9,0.1
pune,23.7,94.9,15.1,1001.6,11.9
pune,23.2,92.1,16.1,1001,8
pune,23.8,94.4,20.2,1002.8,29
pune,23.6,95.4,19.4,1003.5,34
pune,22.9,96.7,15.1,1003.5,36
pune,24.7,88.1,18.4,1003.4,7
pune,26.6,82.2,19.4,1002.1,0.8
pune,27.1,78.2,23.8,1003.3,0.4
pune,27.1,74.8,24.5,1006.6,0.1
pune,25.8,80.6,19.1,1007.4,1
pune,25.9,78.6,20.5,1006.5,1.2
pune,26.5,76.1,20.5,1006.8,0.7
pune,24,87,15.8,1008.3,16
pune,24.9,82.5,12.6,1009.8,4.8
pune,25.6,82.6,11.5,1010.4,15
pune,25,87.6,13.3,1010.8,5
pune,26,82.7,16.2,1009.9,1.3
pune,26.1,82.2,18.4,1008.8,2.6
pune,25.9,79.9,17.6,1006.8,0.2
pune,26.3,80.9,19.1,1005,5
pune,25.3,91.1,18.7,1003.6,24
pune,24.8,90.8,15.8,1002.8,63
pune,26.1,88.3,10.1,1001.7,0.3
pune,25.7,90.8,9.4,999.2,3
pune,23.9,92.8,24.8,1000,37
pune,25.4,85.2,25.6,1003.3,1
pune,24.8,89.6,25.9,1003.8,4.1
pune,24,93.3,23.8,1004.6,55.9
pune,24.9,89.4,25.6,1006.1,0.2
pune,24.8,88.5,24.1,1006.9,5.8
pune,24.8,87.1,24.1,1006,0.3
pune,24.3,89.4,26.6,1004.1,3
pune,24.5,88.8,22.7,1003.2,15.8
pune,25,87.4,21.6,1002.7,5
pune,24.4,83.8,25.6,1003.2,0.2
pune,23.6,85.9,17.3,1003.7,1
pune,24.1,80.1,31.7,1005.3,0.5
pune,23.6,82.3,29.5,1005.5,2.6
pune,22.5,87.4,23,1005.8,2.2
pune,22.2,89.9,17.6,1006.1,1.6
pune,22.2,89,20.5,1005.3,5.3
pune,22.1,88.8,18.4,1006.4,1.3
pune,22.3,88.3,21.6,1007.2,2.3
pune,22.1,90.4,23.4,1006.6,5.3
pune,22,90,22.3,1006.8,3.3
pune,22,89.4,22.7,1008.1,1.6
pune,21.8,91.6,15.8,1008.6,2.3
pune,22.2,89.5,18,1007.7,1.4
pune,23,85,22.7,1007.5,0.7
pune,23.9,80.3,23,1007.4,0.5
pune,24.1,79.2,23.8,1007.5,0.6
pune,23.3,82.7,22.3,1007,1.1
pune,22.3,88.9,22,1005.2,1.3
pune,22.5,86.3,25.6,1004.1,1.4
pune,23,84.4,25.9,1004.6,1.3
pune,24.9,82.3,10.4,1003.6,17.3
